root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
-0.022423357,0.988200665,-0.989195943,-0.043892175,0.144874737,-0.146741495
